dong,landvalue,yuheung,sukbak,school,specialsch,hospital,store,gu,landsize
수유동,1764056.177,15.08055943,9.572876856,1.180217695,1,1,0,강북구,7625711.8
수표동,14581195.4,113.8744648,56.9372324,0,0,0,0,중구,35126.4
수하동,16584279.07,0,0,0,0,0,0,중구,18360.8
순화동,4774315.353,0,14.02328848,0,0,0,0,중구,142619.9
숭인동,3255713.568,45.33560437,58.76837603,0,0,0,0,종로구,595558.4
시흥동,2084738.593,7.942247786,3.971123893,2.859209203,0,1,1,금천구,6295447
신계동,5182226.7,13.91116608,0,0,0,0,0,용산구,143769.4
신공덕동,3494568.638,8.3048615,4.15243075,0,0,0,1,마포구,240822.8
신교동,2491189.459,0,0,0,1,0,0,종로구,99144
신길동,2646369.913,8.052839288,15.55031035,3.054525247,0,1,1,영등포구,3601214.3
신내동,1270332.448,0,0.284767215,1.70860329,0,1,1,중랑구,3511640.2
신당동,3111864.265,9.637450025,12.57058699,5.447254362,0,0,0,중구,2386523.4
신대방동,2632155.569,5.435944312,4.8319505,2.41597525,0,1,0,동작구,1655646.1
신도림동,2369875.227,2.730296593,1.365148296,2.730296593,0,0,1,구로구,1465042.3
신림동,2640424.414,12.23893679,6.560511164,1.543649686,1,1,0,관악구,18138830.5
신문로1가,15577083.83,30.49463828,0,0,0,0,0,종로구,65585.3
신문로2가,5600000.187,3.895789197,0,0,0,0,0,종로구,256687.4
신사동(강남),10146208.63,27.85296143,5.222430268,1.16054006,0,0,0,강남구,1723335.6
신사동(은평),2111624.665,1.087137376,0.543568688,3.804980818,0,0,0,은평구,1839693.9
신설동,3532389.542,35.26121064,38.19964486,5.87686844,0,0,0,동대문구,340317.3
신수동,3455168.815,1.683399093,1.683399093,6.73359637,0,0,0,마포구,594036.2
신영동,1591263.895,0,0,2.768149998,0,0,0,종로구,361252.1
신원동,1174149.243,0,0,0,0,0,0,서초구,2774176
신월동,2166521.713,3.241889623,2.228799116,3.849743927,0,0,0,양천구,4935393.2
신정동(마포),2239893.617,0,0,0,0,0,0,마포구,114319
신정동(양천),2853910.241,6.027793624,1.401812471,3.36434993,0,0,0,양천구,7133621.8
신창동,2933904.595,0,0,0,0,0,0,용산구,62663.3
신천동,6154069.93,0,0.230080187,1.150400933,0,0,1,송파구,4346310.8
신촌동,1680276.862,0,0,0,1,1,0,서대문구,861177
쌍림동,4529795.96,0,25.15887832,0,0,0,0,중구,79494.8
쌍문동,1706327.955,2.507865023,3.582664319,5.373996478,0,1,0,도봉구,2791218.8
아현동,4260971.892,3.839643681,3.839643681,3.839643681,0,0,0,마포구,781322.5
안국동,5274486.989,0,0,14.67693857,0,0,0,종로구,68134.1
안암동1가,2781197.585,0,0,0,0,0,0,성북구,102546.4
안암동2가,2843083.406,0,0,28.27510547,0,0,0,성북구,106100.4
안암동3가,2406929.461,0,0,0,0,0,0,성북구,108418.8
안암동4가,3121991.971,16.73427313,16.73427313,0,0,0,0,성북구,59757.6
안암동5가,2955800.973,2.10550252,1.05275126,0,0,1,0,성북구,949892
암사동,2445376.741,1.910222392,1.485728527,1.061234662,0,0,0,강동구,4711493.3
압구정동,8642213.068,0,0,2.234527434,0,0,1,강남구,2685131.5
양재동,5015145.24,4.420761932,0.49119577,0.98239154,0,0,1,서초구,4071696.3
양평동,311000,0,0,0,0,0,0,영등포구,573137
양평동1가,3352465.202,43.08556405,38.77700765,0,0,0,0,영등포구,232096.3
양평동2가,2865527.222,10.49837905,5.249189525,5.249189525,0,0,0,영등포구,190505.6
양평동3가,2614041.739,0,4.223273489,6.334910233,0,0,1,영등포구,473566.3
양평동4가,3377116.339,37.44648162,26.74748687,8.024246062,0,0,0,영등포구,373866.9
양평동5가,3056239.85,0,0,0,0,0,0,영등포구,221560.5
양평동6가,2565250,0,0,0,0,0,0,영등포구,124631.4
양화동,468954.5455,0,0,0,0,0,0,영등포구,1702807
여의도동,6126708.015,12.2674384,1.31011478,0.714608062,0,1,1,영등포구,8396210.9
역삼동,9014817.323,56.89731887,22.01554549,1.429580876,0,1,1,강남구,3497528.6
역촌동,2457316.104,6.906612754,2.589979783,0.863326594,0,0,0,은평구,1158310.2
연건동,3591469.745,0,0,0,0,1,0,종로구,295241.4
연남동,3279255.038,6.254332102,0,0,0,0,0,마포구,639556.7
연지동,4087532.905,62.65888503,17.90253858,0,0,0,0,종로구,111716
연희동,2138110.121,1.994187608,0.664729203,1.329458405,0,0,0,서대문구,3008744
염곡동,1296097.502,0,0,0,0,0,0,서초구,1642544.5
염리동,3794211.46,0,7.464866141,11.19729921,0,0,0,마포구,535843.5
염창동,2938207.487,4.598039925,5.172794915,2.873774953,0,0,0,강서구,1739871.8
영등포동,2300125.764,6.593019344,4.944764508,3.296509672,0,0,1,영등포구,606702.3
영등포동1가,3219994.819,37.93957743,101.1722065,0,0,0,0,영등포구,79073.1
영등포동2가,4394264.664,32.21736671,32.21736671,0,0,0,0,영등포구,310391.6
영등포동3가,9773409.807,916.3118786,492.0934163,0,0,0,0,영등포구,117863.8
영등포동4가,6738692.308,36.04089715,20.59479837,0,0,1,1,영등포구,194223.8
영등포동5가,5864342.998,137.7048625,127.1121807,0,0,0,0,영등포구,94404.8
영등포동6가,4312939.667,21.09270772,105.4635386,0,0,0,0,영등포구,94819.5
영등포동7가,4070183.894,31.33703644,13.92757175,3.481892938,0,1,0,영등포구,287200.1
영등포동8가,3175242.765,6.127950378,0,0,0,0,1,영등포구,163186.7
영천동,3291439.674,29.47339878,0,0,0,0,0,서대문구,135715.6
예관동,8311318.885,0,25.79074422,0,0,0,0,중구,38773.6
예장동,2405495.349,0,2.945286445,4.417929667,0,0,0,중구,679051.1
예지동,14082502.23,29.14360072,0,0,0,0,0,종로구,68625.7
오곡동,156897.9494,0,0,0,0,0,0,강서구,3727222.3
오금동,4138314.213,4.237459737,0,5.448162519,0,0,0,송파구,1651933.1
오류동,1931516.222,13.82947975,9.63872831,2.09537572,0,0,0,구로구,2386206.9
오쇠동,186971.7391,0,0,0,0,0,0,강서구,988235.3
오장동,6021893.281,104.0047783,104.0047783,0,0,0,0,중구,67304.6
옥수동,3133134.394,0,0.513858217,1.027716433,0,0,0,성동구,1946062.1
옥인동,3167692.308,0,0,0,0,0,0,종로구,414842.7
옥천동,2825137.643,0,18.4579491,0,0,0,0,서대문구,54177.2
온수동,1578679.877,0,0,1.189301331,0,0,0,구로구,840829.8
와룡동,3761470.849,7.067530394,2.827012158,0,0,0,0,종로구,707460.7
외발산동,996389.6785,0,3.004181671,0,0,0,0,강서구,1331477.4
용강동,4714450.98,19.9823822,0,0,0,0,0,마포구,300264.5
용답동,2906644.975,1.883555226,5.650665677,0.627851742,0,0,0,성동구,1592732.7
용두동,3191705.933,13.36013744,18.8613705,0.785890437,0,1,1,동대문구,1272442
용문동,4083572.46,5.216103154,0,0,0,0,0,용산구,191714
용산동1가,2407475,0,0,0,0,0,0,용산구,608720.8
용산동2가,2878313.018,0,0.855423066,4.277115329,0,0,0,용산구,1169012.2
용산동3가,5941146.667,0,5.956197528,0,0,0,0,용산구,335784.7
용산동4가,2448145.455,0,0,0,0,0,0,용산구,789295.2
용산동5가,5665070.175,0,0,0,0,0,0,용산구,692307.1
용산동6가,2196731.481,0,0,0,0,0,0,용산구,1431581.9
우면동,1587856.108,0,0,0.968949763,0,0,0,서초구,4128181
우이동,1175599.334,0.224892086,1.236906474,0.112446043,0,0,0,강북구,8893154.2
운니동,4941112.36,42.90863322,57.21151096,14.30287774,0,0,0,종로구,69916
원남동,3307417.367,53.98453073,26.99226537,0,0,0,0,종로구,74095.3
원서동,3211069.775,0,0,0,0,0,0,종로구,156274
원지동,639014.4105,0,0,0,0,0,0,서초구,5130856
원효로1가,3942925.55,0,0,0,0,0,0,용산구,205321.2
원효로2가,4747277.202,106.6001482,38.07148149,7.614296298,0,0,0,용산구,131331.9
원효로3가,4181274.39,24.62954092,12.31477046,0,0,0,0,용산구,162406.6
원효로4가,3541046.366,0,0,6.421902283,0,0,0,용산구,311434.2
월계동,1499246.617,0,0.935084385,3.039024251,0,0,0,노원구,4277688.8
율현동,1178553.367,0,0,0,0,0,0,강남구,1278474
을지로1가,19351068.18,128.0996103,16.01245128,0,0,0,0,중구,62451.4
을지로2가,16171274.02,35.56744299,26.67558224,0,0,0,0,중구,112462.4
을지로3가,12328589.37,167.7542735,83.87713677,0,0,0,0,중구,83455.4
을지로4가,12176370.9,56.75876249,28.37938124,0,0,0,0,중구,70473.7
을지로5가,7868231.003,76.65047638,76.65047638,0,0,0,0,중구,78277.4
을지로6가,10977443.56,10.7945781,48.57560145,0,0,1,0,중구,185278.2
을지로7가,5385052.381,0,43.55452864,0,0,0,0,중구,91838.9
응봉동,1749979.416,0,0,0,0,0,0,성동구,567821.7
응암동,2372084.835,26.4001168,7.652207769,1.913051942,0,0,1,은평구,2613624.8
의주로1가,6323753.846,0,0,0,0,0,0,중구,26705.9
의주로2가,3217400,0,0,0,0,0,0,중구,39718.5
